Employee ID,First Name,Last Name,Gender,Country,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary,Birth Date,Termination Date,Adjusted Salary
EMP-10000,Judith,Umbridge,Female,Spain,Madrid,2016-11-22,Auror Office,Auror,Advanced Magic Studies,Good,Yes,59012,1977-05-06,,64913
EMP-10001,Donald,Jenkins,Male,Italy,Rome,2019-03-02,Auror Office,Auror,Advanced Magic Studies,Good,Yes,66559,1982-12-27,,71883
EMP-10002,Joy,Brown,Male,France,Lyon,2016-09-28,Auror Office,Investigator,Advanced Magic Studies,Excellent,No,55231,1988-04-12,,57992
EMP-10003,Brittany,Auror,Female,Spain,Madrid,2024-04-11,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Needs Improvement,No,59782,1990-10-12,,60977
EMP-10004,Clayton,Mulciber,Male,France,Marseille,2015-07-17,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,No,40299,1986-01-25,,40299
EMP-10005,Carolyn,Hooch,Male,Germany,Berlin,2018-12-16,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Good,Yes,47628,1992-07-30,,47628
EMP-10006,Jennifer,Selwyn,Male,France,Lyon,2024-07-19,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Good,No,42339,1992-12-14,,42339
EMP-10007,Jeffrey,Greengrass,Male,UK,Edinburgh,2024-04-09,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,35313,2001-06-05,,35313
EMP-10008,Katherine,Auror,Female,France,Lyon,2019-09-25,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,No,35155,1989-11-11,,35858
EMP-10009,Roberto,Dearborn,Female,France,Paris,2017-09-19,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Good,Yes,39577,1999-08-13,,40368
EMP-10010,Jason,Warrington,Male,Spain,Madrid,2019-09-23,Auror Office,Investigator,Advanced Magic Studies,Good,No,55008,1982-05-26,,59408
EMP-10011,Christopher,Fudge,Male,Spain,Barcelona,2020-09-22,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Satisfactory,No,63128,1979-03-27,,65021
EMP-10012,Melanie,Ollivander,Female,Spain,Madrid,2016-08-23,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,Yes,54867,1987-10-10,,55964
EMP-10013,Bradley,Chang,Male,Spain,Seville,2019-07-02,Magical Law Enforcement,Regulations Officer,Basic Wizardry,Satisfactory,No,56635,1998-04-03,,56635
EMP-10014,Teresa,Brown,Male,France,Paris,2022-10-25,Magical Creature Department,Beast Handler,Magical Creatures Training,Good,No,56894,1987-02-02,,56894
EMP-10015,Kelly,Fitzwilliam,Male,France,Paris,2021-06-10,Auror Office,Auror,Advanced Magic Studies,Good,No,65924,1982-10-22,2024-04-12,71197
EMP-10016,James,Higgs,Female,France,Marseille,2021-02-25,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,79876,1990-10-31,,85467
EMP-10017,Donna,Moody,Female,Germany,Berlin,2016-03-08,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Good,Yes,56959,1981-12-26,,58098
EMP-10018,Michelle,Johnson,Female,UK,Bristol,2019-12-04,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Good,No,61929,1972-09-02,2022-05-25,68121
EMP-10019,Shawn,Karkaroff,Male,Italy,Rome,2021-06-20,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Excellent,No,78711,1980-12-16,,85007
EMP-10020,Mitchell,Trelawney,Male,UK,Edinburgh,2021-03-16,Magical Law Enforcement,Hit Wizard,Intermediate Wizardry,Satisfactory,No,55303,1988-12-29,,55303
EMP-10021,Joseph,Goldstein,Male,Germany,Munich,2018-07-25,Auror Office,Auror,Advanced Magic Studies,Good,No,56232,1989-12-28,,59043
EMP-10022,Amanda,Higgs,Female,UK,London,2016-03-19,Magical Creature Department,Dragon Tamer,Magical Creatures Training,Satisfactory,No,63033,1977-01-24,,66184
EMP-10023,Steven,Tonks,Female,France,Lyon,2019-03-02,Department of Mysteries,Unspeakable,Mysteries and Advanced Research,Excellent,No,75773,1974-10-04,,83350
EMP-10024,Gabrielle,Macmillan,Male,Germany,Berlin,2019-08-05,Magical Creature Department,Beast Handler,Magical Creatures Training,Needs Improvement,No,63211,1987-02-03,,63211
EMP-10025,Lydia,Bole,Female,Spain,Madrid,2015-12-14,Wand Permits Office,Permit Inspector,Wizarding Law Basics,Excellent,No,35138,1989-11-13,,35840
